faculty_id,name,institution_id,homepage,rank,active,notes,orcid,google_scholar_id
litson_kaylee,Kaylee Litson,uh,https://www.uh.edu/class/psychology/about/people/kaylee-litson/,Assistant Professor,True,Official UH I-O faculty page,,2Te_TMEAAAAJ
reyes_denise,Denise L. Reyes,uh,https://www.uh.edu/class/psychology/about/people/denise-reyes/index.php,Assistant Professor,True,Official UH I-O faculty page,,iaXc6NYAAAAJ
dik_bryan,Bryan J. Dik,csu,https://psychology.colostate.edu/person/?id=96A7D0C5407893079105829350F8E376&sq=t,Professor,True,Official CSU I-O faculty list,,lJz8HB4AAAAJ
fisher_gwen,Gwenith G. Fisher,csu,https://psychology.colostate.edu/person/?id=71DBAC34D7C1FF57044953246ECFBB85,Professor,True,Official CSU I-O faculty list,,MU4Y7VYAAAAJ
fletcher_keaton,Keaton A. Fletcher,csu,https://psychology.colostate.edu/person/?id=62535BDD820BC55E5DB38E7C829D74FE&sq=t,Associate Professor,True,Official CSU I-O faculty list,,Z38glpIAAAAJ
french_kimberly,Kimberly A. French,csu,https://psychology.colostate.edu/person/?id=543304F763A3E253917D1AB605BA1CCA&sq=t,Associate Professor,True,Official CSU I-O faculty list,,ekl67gcAAAAJ
gardner_danielle,Danielle M. Gardner,csu,https://psychology.colostate.edu/person/?id=41F8292EF26F1009D3096EA1C2C6E74C&sq=t,Assistant Professor,True,Official CSU I-O faculty list,,CumJXukAAAAJ
gibbons_alyssa,Alyssa M. Gibbons,csu,https://psychology.colostate.edu/person/?id=0D7D5CDAC6677E3AD4FA00B2C074B674&sq=t,Associate Professor,True,Official CSU I-O faculty list,,
prasad_josh,Joshua J. Prasad,csu,https://psychology.colostate.edu/person/?id=C390BBC1F8273071BEA7B4FCC9DE06F7,Assistant Professor,True,Official CSU I-O faculty list,,JVRH_s0AAAAJ
byrne_zinta,Zinta S. Byrne,csu,https://psychology.colostate.edu/zinta-byrne/,Professor,False,Not on current CSU I-O faculty list,,
tonidandel_scott,Scott Tonidandel,uncc,https://orgscience.charlotte.edu/directory/scott-tonidandel/,Professor,True,OS program director; official OS faculty,,EzgIBbcAAAAJ
rogelberg_steven,Steven G. Rogelberg,uncc,https://orgscience.charlotte.edu/directory/steven-rogelberg/,Professor,True,Official OS faculty,,XXtn9GcWxe4C
mcgonagle_alyssa,Alyssa McGonagle,uncc,https://orgscience.charlotte.edu/directory/alyssa-mcgonagle,Associate Professor,True,Official OS faculty,,ZbSzNS8AAAAJ
banks_george,George C. Banks,uncc,https://orgscience.charlotte.edu/directory/george-banks/,Professor,True,Official OS faculty,,EWgu-gQAAAAJ
gooty_janaki,Janaki Gooty,uncc,https://orgscience.charlotte.edu/directory/janaki-gooty/,Professor,True,Official OS faculty,,tYlf9PIAAAAJ
blanchard_anita,Anita L. Blanchard,uncc,https://orgscience.charlotte.edu/directory/anita-blanchard/,Professor,True,Official OS faculty,,mnEZIz4AAAAJ
canevello_amy,Amy Canevello,uncc,https://orgscience.charlotte.edu/directory/amy-canevello/,Associate Professor,True,Official OS faculty,,72zO0DEAAAAJ
davenport_meghan,Meghan K. Davenport,uncc,https://orgscience.charlotte.edu/directory/meghan-davenport/,Assistant Professor,True,Official OS faculty,,d0dT5rMAAAAJ
endacott_camille,Camille G. Endacott,uncc,https://orgscience.charlotte.edu/directory/camille-endacott/,Assistant Professor,True,Official OS faculty,,zdGitIIAAAAJ
gossett_loril,Loril M. Gossett,uncc,https://orgscience.charlotte.edu/directory/loril-gossett/,Associate Professor,True,Official OS faculty,,b94s48AAAAAJ
grant_ryan,Ryan Grant,uncc,https://orgscience.charlotte.edu/people/ryan-grant/,Assistant Professor,True,Official OS faculty,,
heggestad_eric,Eric D. Heggestad,uncc,https://orgscience.charlotte.edu/directory/eric-heggestad/,Professor,True,Official OS faculty,,Ha40ALIAAAAJ
jason_kendra,Kendra Jason,uncc,https://orgscience.charlotte.edu/directory/kendra-jason/,Associate Professor,True,Official OS faculty,,xCxqw-sAAAAJ
baltes_boris,Boris B. Baltes,wayne,https://provost.wayne.edu/academic-personnel/profile/ae8920,Professor,False,Not current Wayne I-O core (CLAS memorial 2025),,
dickson_marcus,Marcus W. Dickson,wayne,https://wayne.edu/people/ad4795,Professor,True,I-O area head,,xhXn61QAAAAJ
adair_wendi,Wendi L. Adair,waterloo,https://uwaterloo.ca/psychology/people-profiles/wendi-adair,Professor,True,Official Waterloo I-O core faculty,,xmuke10AAAAJ
beck_james,James W. Beck,waterloo,https://uwaterloo.ca/psychology/people-profiles/james-beck,Associate Professor,True,Official Waterloo I-O core faculty; Scholar ID mHCtGhcAAAAJ is botanist James Beck (Wichita State) — blocked
bobocel_ramona,D. Ramona Bobocel,waterloo,https://uwaterloo.ca/psychology/profiles/ramona-bobocel,Professor,True,Official Waterloo I-O core faculty,,hANFxFIAAAAJ
brown_douglas,Douglas J. Brown,waterloo,https://uwaterloo.ca/psychology/profiles/douglas-brown,Professor,True,Official Waterloo I-O core faculty,,VH40jFYAAAAJ
hillebrandt_annika,Annika Hillebrandt,waterloo,https://uwaterloo.ca/psychology/profiles/annika-hillebrandt,Associate Professor,True,Official Waterloo I-O core faculty,,GaU_pnoAAAAJ
chapman_derek,Derek S. Chapman,calgary,https://profiles.ucalgary.ca/derek-chapman,Associate Professor,False,Official Calgary I-O: Associate Professor Emeritus,,
bourdage_joshua,Joshua S. Bourdage,calgary,https://profiles.ucalgary.ca/joshua-bourdage,Professor,True,Psychology I-O,,4zIeRX4AAAAJ
oneill_thomas,Thomas A. O'Neill,calgary,https://profiles.ucalgary.ca/thomas-oneill,Professor,True,Psychology I-O program head,,nYMDbHgAAAAJ
kelloway_kevin,E. Kevin Kelloway,smu,https://www.smu.ca/psychology/faculty-and-staff-profiles/faculty/e-kevin-kelloway.html,Professor,True,,,k_Lo5MQAAAAJ
powell_deborah,Deborah M. Powell,guelph,https://www.uoguelph.ca/psychology/people/deborah-powell,Professor,True,Official Guelph I-O,,FiQg1SgAAAAJ
hausdorf_peter,Peter A. Hausdorf,guelph,https://www.uoguelph.ca/psychology/people/peter-hausdorf,Professor,True,Official Guelph I-O,,tat03s0AAAAJ
sonhing_leanne,Leanne S. Son Hing,guelph,https://www.uoguelph.ca/profile/leanne-son-hing,Professor,True,Official Guelph I-O,,
gonzalezmorales_gloria,M. Gloria Gonzalez-Morales,guelph,https://www.uoguelph.ca/psychology/graduate/ios,Associate Professor,False,Not on current Guelph I-O directory,,
finegan_joan,Joan Finegan,western,https://www.psychology.uwo.ca/people/faculty/profiles/finegan.html,Associate Professor,False,Official Western I/O: Professor Emeritus; not core,,
goffin_richard,Richard D. Goffin,western,https://www.psychology.uwo.ca/people/faculty/profiles/goffin.html,Professor,False,Official Western I/O: Professor Emeritus; not core,,
kanfer_ruth,Ruth Kanfer,gatech,https://psychology.gatech.edu/people/ruth-kanfer,Professor,False,Official GT news: deceased August 2025; stale people page; UMN 1984–1997,,22Ph80MAAAAJ
ackerman_phillip,Phillip L. Ackerman,gatech,https://psychology.gatech.edu/people/phillip-ackerman,Professor,True,Official GT I-O faculty,,YCmbxfIAAAAJ
weiss_howard,Howard M. Weiss,gatech,https://psychology.gatech.edu/people/howard-m-weiss,Professor,True,Official GT I-O faculty,,zhUj2-oAAAAJ
wiese_christopher,Christopher W. Wiese,gatech,https://psychology.gatech.edu/people/christopher-w-wiese,Associate Professor,True,Official GT I-O area director,,sYILK6YAAAAJ
meade_adam,Adam W. Meade,ncsu,https://meade.wordpress.ncsu.edu/,Professor,True,I-O program coordinator; official NC State,,o3ZbR_0AAAAJ
craig_bart,S. Bartholomew Craig,ncsu,https://chass.ncsu.edu/people/sbcraig/,Associate Professor,True,Official NC State I-O faculty group,,UogJDo8AAAAJ
foster_lori,Lori Foster,ncsu,https://chass.ncsu.edu/people/llfoster/,Professor,True,Official NC State I-O faculty group,,
albritton_betsy,Betsy Albritton,clemson,https://www.clemson.edu/cbshs/about/profiles/index.html?userid=ealbrit,Assistant Professor,True,Official Clemson I-O faculty list; Scholar ID 404
britt_thomas,Thomas W. Britt,clemson,https://www.clemson.edu/cbshs/about/profiles/index.html?userid=TWBRITT,Professor,True,Official Clemson I-O faculty list,,hlEVHFEAAAAJ
vanfossen_jenna,Jenna Van Fossen,clemson,https://www.clemson.edu/cbshs/about/profiles/index.html?userid=jvanfos,Assistant Professor,True,Official Clemson I-O faculty list,,h1WiANIAAAAJ
rosopa_patrick,Patrick J. Rosopa,clemson,https://www.clemson.edu/cbshs/about/profiles/index.html?userid=PROSOPA,Professor,True,Official Clemson I-O faculty list,,k9FadEgAAAAJ
sinclair_robert,Robert R. Sinclair,clemson,https://www.clemson.edu/cbshs/about/profiles/index.html?userid=RSINCLA,Professor,True,Official Clemson I-O faculty list; grad coordinator,,p5lATEUAAAAJ
taylor_maryanne,Mary Anne Taylor,clemson,https://www.clemson.edu/cbshs/about/profiles/index.html?userid=TAYLORM,Professor,True,Official Clemson I-O faculty list,,
ehrhart_mark,Mark G. Ehrhart,ucf,https://sciences.ucf.edu/psychology/person/mark-ehrhart/,Professor,True,UCF I-O handbook 2025-26; program director,,9ER5GqgAAAAJ
bowling_nathan,Nathan A. Bowling,ucf,https://sciences.ucf.edu/psychology/person/nathan-bowling/,Professor,True,UCF I-O handbook 2025-26,,MGKS_rYAAAAJ
fritzsche_barbara,Barbara A. Fritzsche,ucf,https://sciences.ucf.edu/psychology/person/barbara-fritzsche/,Associate Professor,True,UCF I-O handbook 2025-26,,2xypKcwAAAAJ
lenoble_chelsea,Chelsea LeNoble,ucf,https://sciences.ucf.edu/psychology/person/chelsea-lenoble/,Assistant Professor,True,UCF I-O handbook 2025-26,,uN9yD3IAAAAJ
shoss_mindy,Mindy K. Shoss,ucf,https://sciences.ucf.edu/psychology/person/mindy-shoss/,Professor,True,UCF I-O handbook 2025-26,,0MfACZAAAAAJ
su_shiyang,Shiyang Su,ucf,https://sciences.ucf.edu/psychology/person/shiyang-su/,Associate Professor,True,UCF I-O handbook 2025-26,,QgTb0MMAAAAJ
goldstein_harold,Harold W. Goldstein,baruch,https://www.baruch.cuny.edu/profiles/faculty/Harold-Goldstein,Professor,True,CUNY GC I-O training area full-time faculty,,
cohencharash_yochi,Yochi Cohen-Charash,baruch,https://www.gc.cuny.edu/people/yochi-cohen-charash,Professor,True,CUNY GC I-O training area full-time faculty,,z9zdLDIAAAAJ
scherbaum_charles,Charles A. Scherbaum,baruch,https://www.gc.cuny.edu/people/charles-scherbaum,Professor,True,CUNY GC I-O PhD director,,UsVFH7cAAAAJ
wang_wei,Wei Wang,baruch,https://www.iopsych-baruch.com/wei-wang,Associate Professor,True,CUNY GC I-O training area full-time faculty,,DwxPR9AAAAAJ
chatterjee_dia,Dia Chatterjee,baruch,https://www.gc.cuny.edu/people/dia-chatterjee,Assistant Professor,True,CUNY GC I-O training area full-time faculty,,
godollei_anna,Anna Godollei,baruch,https://www.gc.cuny.edu/people/anna-godollei,Assistant Professor,True,CUNY GC I-O training area full-time faculty,,s-GZAy8AAAAJ
bazzoli_andrea,Andrea Bazzoli,baruch,https://www.gc.cuny.edu/people/andrea-bazzoli,Assistant Professor,True,CUNY GC I-O training area full-time faculty,,zu8Us98AAAAJ
cigularov_konstantin,Konstantin P. Cigularov,odu,https://www.odu.edu/directory/konstantin-cigularov,Associate Professor,False,ODU I-O PhD discontinued 2025; not counted as a program,,
major_debra,Debra A. Major,odu,https://www.odu.edu/psychology/graduate/industrial-organizational/labs,Professor,False,ODU Board of Visitors: emerita 2023; labs page stale,,
hu_xiaoxiao,Xiaoxiao Hu,odu,https://www.odu.edu/directory/xiaoxiao-hu,Associate Professor,False,Not on official ODU I-O labs faculty list,,
crain_tori,Tori L. Crain,pdx,https://www.pdx.edu/profile/tori-crain,Associate Professor,True,Official PDX I-O core faculty,,qUIckLcAAAAJ
paolettihatcher_jensine,Jensine Paoletti-Hatcher,pdx,https://www.pdx.edu/profile/jensine-paoletti-hatcher,Assistant Professor,True,Official PDX I-O core faculty,,J_GbL8MAAAAJ
randall_jason,Jason G. Randall,pdx,https://www.pdx.edu/profile/jason-randall,Assistant Professor,True,Official PDX I-O core faculty,,cT8LWcUAAAAJ
yang_liuqin,Liu-Qin Yang,pdx,https://www.pdx.edu/profile/liu-qin-yang,Professor,True,Official PDX I-O core faculty,,arBLOxAAAAAJ
hanges_paul,Paul J. Hanges,umd,https://psyc.umd.edu/facultyprofile/hanges/paul,Professor,True,Official UMD SDOS; I-O,,oEWUNuMAAAAJ
grand_james,James A. Grand,umd,https://psyc.umd.edu/facultyprofile/grand/james,Associate Professor,True,Official UMD SDOS; I-O,,Y1w9_1oAAAAJ
wessel_jennifer,Jennifer L. Wessel,umd,https://psyc.umd.edu/people/faculty,Associate Professor,True,Official UMD SDOS; workplace diversity / I-O,,m_tEihAAAAAJ
lahuis_david,David M. LaHuis,wright,https://people.wright.edu/david.lahuis,Professor,True,Wright State I-O faculty directory,,_Q1k5eoAAAAJ
miller_corey,Corey E. Miller,wright,https://people.wright.edu/corey.miller,Associate Professor,True,Wright State I-O faculty directory,,xYdlSLMAAAAJ
steelejohnson_debra,Debra Steele-Johnson,wright,https://people.wright.edu/debra.steele-johnson,Professor,True,Wright State I-O faculty directory,,
christiansen_neil,Neil D. Christiansen,cmich,https://www.cmich.edu/people/NEIL-DOUGLAS-CHRISTIANSEN,Professor,True,Official CMU I-O faculty; program director,,
obrien_kimberly,Kimberly E. O'Brien,cmich,https://www.cmich.edu/people/KIMBERLY-OBRIEN,Associate Professor,True,Official CMU I-O faculty,,-K55amsAAAAJ
prewett_matthew,Matthew S. Prewett,cmich,https://www.cmich.edu/people/MATTHEW-SCOTT-PREWETT,Associate Professor,True,Official CMU I-O faculty,,vqpmPQsAAAAJ
speer_andrew,Andrew B. Speer,wayne,https://s.wayne.edu/speerlab/,Professor,False,Left Wayne 2023 for IU Kelley School of Business,,
burns_gary,Gary N. Burns,fit,https://www.fit.edu/faculty-profiles/b/burns-gary/,Professor,True,Official FIT I/O faculty,,fQpVNQUAAAAJ
converse_patrick,Patrick D. Converse,fit,https://www.fit.edu/faculty-profiles/c/converse-patrick/,Professor,True,Official FIT I/O faculty,,15WPB2EAAAAJ
griffith_richard,Richard L. Griffith,fit,https://www.fit.edu/faculty-profiles/g/griffith-richard/,Professor,True,Official FIT I/O faculty,,PDhejLwAAAAJ
steelman_lisa,Lisa A. Steelman,fit,https://www.fit.edu/faculty-profiles/s/steelman-lisa/,Professor,True,Official FIT I/O faculty,0000-0002-5786-8607,vxmpMEgAAAAJ
thayer_amanda,Amanda L. Thayer,fit,https://www.fit.edu/faculty-profiles/t/thayer-amanda/,Associate Professor,True,Official FIT I/O faculty,0000-0002-7995-3378,zBaf1WIAAAAJ
wildman_jessica,Jessica L. Wildman,fit,https://www.fit.edu/faculty-profiles/w/wildman-wildones-jessica/,Professor,True,Official FIT I/O faculty; program chair,0000-0002-0004-595X,_JYUCtgAAAAJ
durik_amanda,Amanda M. Durik,niu,http://niu.edu/durik/,Professor,True,Official NIU Social-I/O area faculty,,FyOITO0AAAAJ
finkelstein_lisa,Lisa M. Finkelstein,niu,https://www.niu.edu/clas/psychology/about/directory/finkelstein.shtml,Professor,True,Official NIU Social-I/O area coordinator,,XpM3TEsAAAAJ
mccarthy_randy,Randy J. McCarthy,niu,https://www.niu.edu/clas/psychology/about/directory/mccarthy.shtml,Professor,True,Official NIU Social-I/O area faculty,,5ONVkm8AAAAJ
saef_rachel,Rachel Saef,niu,https://www.niu.edu/psychology/about/directory/saef.shtml,Assistant Professor,True,Official NIU Social-I/O area faculty,,8JJtf4YAAAAJ
sagarin_brad,Brad J. Sagarin,niu,https://www.niu.edu/clas/psychology/about/directory/sagarin.shtml,Professor,True,Official NIU Social-I/O area faculty,,9IlYGZAAAAAJ
santuzzi_alecia,Alecia M. Santuzzi,niu,https://www.niu.edu/clas/psychology/about/directory/santuzzi.shtml,Professor,True,Official NIU Social-I/O area faculty,,67qtXloAAAAJ
valle_ibette,Ibette Valle,niu,https://www.niu.edu/clas/psychology/about/directory/valle.shtml,Assistant Professor,True,Official NIU Social-I/O area faculty,,K5SadLoAAAAJ
connelly_shane,Shane Connelly,ou,https://www.ou.edu/cas/psychology/people/faculty/shane-connelly,Professor,True,Official OU Psychology I-O area,,tBFPdoIAAAAJ
day_eric,Eric A. Day,ou,https://www.ou.edu/cas/psychology/people/faculty/eric-day.html,Professor,True,Official OU I-O doctoral coordinator,,tsxoQYQAAAAJ
he_yaqing,Yaqing He,ou,https://www.ou.edu/cas/psychology/people/faculty/yaqing-he,Assistant Professor,True,Official OU Psychology I-O area,,
kim_jeongjin,JeongJin Kim,ou,https://www.ou.edu/cas/psychology/people/faculty/jeongjin-kim,Assistant Professor,True,Official OU Psychology I-O area,,3312EoQAAAAJ
snyder_lori,Lori Anderson Snyder,ou,https://www.ou.edu/cas/psychology/people/faculty/lori-snyder,Professor,True,Official OU Psychology I-O area; removed Scholar ID XbsL6hsAAAAJ (Lori Snyder Bennear / environmental economics; not on homepage),,
cartersowell_adrienne,Adrienne R. Carter-Sowell,ou,https://www.ou.edu/cas/psychology/people/faculty/adrienne-carter-sowell,Professor,True,Official OU faculty; I-O / workplace access,,tGwBI80AAAAJ
ayman_roya,Roya Ayman,iit,https://www.iit.edu/directory/people/roya-ayman,Professor,True,Official IIT I-O featured faculty,,hPFmocsAAAAJ
bauer_kristina,Kristina N. Bauer,iit,https://www.iit.edu/directory/people/kristina-bauer,Associate Professor,True,Official IIT I-O featured faculty,,4C46sfcAAAAJ
morris_scott,Scott B. Morris,iit,https://www.iit.edu/directory/people/scott-morris,Professor,True,Official IIT I-O program director,,aiWrHTkAAAAJ
halpert_jane,Jane A. Halpert,depaul,https://www.depaul.edu/faculty/jane-halpert,Professor,True,Official DePaul I-O faculty page,,
katz_ian,Ian M. Katz,depaul,https://www.depaul.edu/faculty/ian-katz,Assistant Professor,True,Official DePaul I-O faculty; program director,,ywGflxEAAAAJ
rauvola_shelly,R. Shelly Rauvola,depaul,https://www.depaul.edu/faculty/shelly-rauvola,Associate Professor,True,Official DePaul I-O faculty page,,1ANFTW8AAAAJ
stuhlmacher_alice,Alice F. Stuhlmacher,depaul,https://www.depaul.edu/faculty/alice-stuhlmacher,Professor,True,Official DePaul I-O faculty page,,IHuBNAoAAAAJ
roch_sylvia,Sylvia G. Roch,ualbany,https://www.albany.edu/psychology/faculty/sylvia-roch,Professor,True,UAlbany I-O PhD director,,zErez8gAAAAJ
dalal_dev,Dev K. Dalal,ualbany,https://www.albany.edu/psychology/psychology-research,Associate Professor,True,UAlbany I-O faculty,,GoXKNzcAAAAJ
williams_kevin,Kevin J. Williams,ualbany,https://www.albany.edu/psychology/faculty/kevin-williams,Professor,True,UAlbany I-O faculty,,18FQvm8AAAAJ
