institution_id,name,country,city,program_url,faculty_page_url,unit,include_status,notes,roster_status,active_faculty
uh,University of Houston,US,Houston,https://www.uh.edu/class/psychology/io-psych/,https://www.uh.edu/class/psychology/io-psych/people/faculty/,Psychology,core,Witt (Management joint) excluded; not on dedicated I-O faculty page,complete_v1,5
pdx,Portland State University,US,Portland,https://www.pdx.edu/psychology/industrialorganizational-psychology,https://www.pdx.edu/psychology/industrialorganizational-psychology,Psychology,core,,complete_v1,4
csu,Colorado State University,US,Fort Collins,https://psychology.colostate.edu/io/,https://psychology.colostate.edu/io/,Psychology,core,,complete_v1,7
uncc,University of North Carolina at Charlotte,US,Charlotte,https://orgscience.charlotte.edu/,https://orgscience.charlotte.edu/faculty/,Organizational Science,core,OS TT faculty from official OS pages,complete_v1,20
ncsu,North Carolina State University,US,Raleigh,https://psychology.chass.ncsu.edu/graduate/industrial-and-organizational/,https://chass.ncsu.edu/group/psychology/psychology-faculty/industrial-organizational-psychology/,Psychology,core,Official I-O faculty group plus McChesney CHASS people page,complete_v1,5
gatech,Georgia Institute of Technology,US,Atlanta,https://iopsych.gatech.edu/,https://psychology.gatech.edu/people,Psychology,core,Kanfer deceased August 2025,complete_v1,2
umd,University of Maryland College Park,US,College Park,https://psyc.umd.edu/sdos-program,https://psyc.umd.edu/people/faculty,Psychology,core,PhD I-O area; do not count MPS-only instructors,complete_v1,4
baruch,Baruch College / CUNY Graduate Center,US,New York,https://www.gc.cuny.edu/psychology,https://www.baruch.cuny.edu/wsas/academics/psychology/faculty.htm,Psychology,core,PhD is through CUNY Graduate Center; faculty primarily at Baruch,complete_v1,8
clemson,Clemson University,US,Clemson,https://www.clemson.edu/cbshs/departments/psychology/degrees/industrial-organizational-psychology.html,https://www.clemson.edu/cbshs/departments/psychology/degrees/industrial-organizational-psychology.html,Psychology,core,Official I-O PhD page faculty list (11),complete_v1,11
wright,Wright State University,US,Dayton,https://www.wright.edu/degrees-and-programs/catalog/programs/industrial-organizational-psychology-phd,https://science-math.wright.edu/psychology/faculty-and-staff-directory,Psychology,core,Added Baker 2025 and McCord 2026; Bowling now UCF; Burns now FIT,complete_v1,5
cmich,Central Michigan University,US,Mount Pleasant,https://www.cmich.edu/academics/colleges/liberal-arts-social-sciences/departments/psychology/graduate-programs/industrial-and-organizational-psychology/faculty,https://www.cmich.edu/academics/colleges/liberal-arts-social-sciences/departments/psychology/graduate-programs/industrial-and-organizational-psychology/faculty,Psychology,core,,complete_v1,3
wayne,Wayne State University,US,Detroit,https://clas.wayne.edu/psychology/grad/phd/industrial-organizational,https://clas.wayne.edu/psychology/directory,Psychology,core,"Dickson, Rudolph, Chang; Speer left 2023; Baltes not current",complete_v1,3
fit,Florida Institute of Technology,US,Melbourne,https://www.fit.edu/programs/industrial-organizational-psychology-phd/,https://www.fit.edu/psychology/academics-and-learning/io-psychology/faculty/,Psychology,core,,complete_v1,7
ucf,University of Central Florida,US,Orlando,https://sciences.ucf.edu/psychology/graduate/ph-d-in-industrial-and-organizational-psychology/,https://sciences.ucf.edu/psychology/people/,Psychology,core,,complete_v1,6
odu,Old Dominion University,US,Norfolk,https://www.odu.edu/psychology/graduate/industrial-organizational,https://www.odu.edu/psychology/graduate/industrial-organizational/labs,Psychology,verify,I-O PhD discontinued 2025 (confirmed by former faculty); catalog/marketing pages stale; remaining faculty not a program,empty,0
niu,Northern Illinois University,US,DeKalb,https://www.niu.edu/psychology/academics/graduate/social/index.shtml,https://www.niu.edu/psychology/academics/graduate/social/index.shtml,Psychology,core,,complete_v1,7
ou,University of Oklahoma,US,Norman,https://www.ou.edu/cas/psychology/graduate/io,https://www.ou.edu/cas/psychology/people/faculty,Psychology,core,,complete_v1,6
iit,Illinois Institute of Technology,US,Chicago,https://www.iit.edu/academics/programs/industrial-organizational-psychology-phd,https://www.iit.edu/psychology/people,Psychology,core,Ayman retired May 2026 (LinkedIn); IIT directory still stale Professor,complete_v1,2
depaul,DePaul University,US,Chicago,https://csh.depaul.edu/academics/departments-schools/psychology/faculty-staff/industrial-organizational-psychology-faculty,https://csh.depaul.edu/academics/departments-schools/psychology/faculty-staff/industrial-organizational-psychology-faculty,Psychology,core,,complete_v1,4
ualbany,University at Albany SUNY,US,Albany,https://www.albany.edu/psychology/programs/phd-industrial-and-organizational-psychology,https://www.albany.edu/psychology/faculty,Psychology,core,,complete_v1,3
unomaha,University of Nebraska Omaha,US,Omaha,https://www.unomaha.edu/college-of-arts-and-sciences/psychology/academics/graduate-programs/io-psych/faculty.php,https://www.unomaha.edu/college-of-arts-and-sciences/psychology/academics/graduate-programs/io-psych/faculty.php,Psychology,core,,complete_v1,6
utulsa,University of Tulsa,US,Tulsa,https://utulsa.edu/academics/arts/academics/departments/psychology/io-grad/,https://utulsa.edu/academics/arts/academics/departments/psychology/io-grad/,Psychology,core,,complete_v1,3
ohio,Ohio University,US,Athens,https://www.ohio.edu/cas/psychology/graduate/experimental/manual/specialization-industrial-organizational-psychology,https://www.ohio.edu/cas/psychology/about/contact/faculty-staff-directory,Psychology,verify,I/O specialization not admitting (catalog PH4106); Vancouver not taking students; Jingyi Li 2026 hire not on official directory yet,empty,0
latech,Louisiana Tech University,US,Ruston,https://education.latech.edu/academic-programs/psychology-behavioral-sciences/industrial-organizational-psychology/,https://education.latech.edu/faculty-staff/psychology-behavioral-sciences/,Psychology,core,Igou retired 2024; Desselles no longer TT; Sheets and Toaddy remain,complete_v1,2
fiu,Florida International University,US,Miami,https://case.fiu.edu/psychology/phd-in-industrial-organizational-psychology/,https://case.fiu.edu/psychology/students/graduate/phd-in-industrial-organizational-psychology/team/,Psychology,core,,complete_v1,3
umsl,University of Missouri-St. Louis,US,St. Louis,https://www.umsl.edu/psychology/graduate-studies/industrial-organizational.html,https://www.umsl.edu/psychology/faculty/,Psychology,verify,"PhD I-O no longer admitting; remaining faculty are College of Business, excluded",empty,0
auburn,Auburn University,US,Auburn,https://cla.auburn.edu/psychological-sciences/graduate-studies/industrial-and-organizational-psychology/,https://cla.auburn.edu/psychological-sciences/io/people/,Psychology,core,,complete_v1,8
vt,Virginia Tech,US,Blacksburg,https://support.psyc.vt.edu/grads/program/industrial-organizational,https://support.psyc.vt.edu/grads/program/area-faculty/industrial-organizational-psychology,Psychology,core,Hickman moved to Management 2026; still counted by appointment,complete_v1,5
slu,Saint Louis University,US,St. Louis,https://www.slu.edu/arts-and-sciences/academics/degrees/graduate/psychology-industrial-organizational-phd.php,https://www.slu.edu/arts-and-sciences/psychology/faculty/,Psychology,core,Thomas left 2025 for ASU,complete_v1,3
wmu,Western Michigan University,US,Kalamazoo,https://wmich.edu/psychology/academics/graduate/iobm,https://wmich.edu/psychology/directory/industrial,Psychology,core,IOBM/OBM doctorate (behavior analysis + I-O); still admitting,complete_v1,4
montclair,Montclair State University,US,Montclair,https://www.montclair.edu/academics/programs/phd-industrial-and-organizational-psychology,https://www.montclair.edu/academics/programs/phd-industrial-and-organizational-psychology,Psychology,core,,complete_v1,7
hofstra,Hofstra University,US,Hempstead,https://www.hofstra.edu/applied-organizational-psychology/,https://www.hofstra.edu/applied-organizational-psychology/faculty.html,Psychology,core,Degree name is Applied Organizational Psychology,complete_v1,6
spu,Seattle Pacific University,US,Seattle,https://spu.edu/academics/college-applied-natural-sciences/graduate-programs/industrial-organizational-psychology-phd,https://spu.edu/academics/college-applied-natural-sciences/graduate-programs/industrial-organizational-psychology-phd,Psychology,core,,complete_v1,3
tc,Teachers College Columbia University,US,New York,https://www.tc.columbia.edu/organization-and-leadership/social-organizational-psychology/faculty/,https://www.tc.columbia.edu/organization-and-leadership/social-organizational-psychology/faculty/,Social-Organizational Psychology,core,Social-Organizational Psychology PhD,complete_v1,6
gwu,George Washington University,US,Washington,https://orgsciandcomm.columbian.gwu.edu/phd-i-o-psychology,https://orgsciandcomm.columbian.gwu.edu/core-faculty,Organizational Sciences,core,OS I-O doctoral faculty only; Psychology affiliates excluded,complete_v1,3
uta,University of Texas at Arlington,US,Arlington,https://www.uta.edu/academics/schools-colleges/science/departments/psychology/research/industrial-organizational-psychology,https://www.uta.edu/academics/schools-colleges/science/departments/psychology/research/industrial-organizational-psychology,Psychology,core,,complete_v1,5
utsa,University of Texas at San Antonio,US,San Antonio,https://hcap.utsa.edu/psychology/,https://hcap.utsa.edu/psychology/faculty/,Psychology,verify,No psychology I-O PhD; I-O researchers are in Management (excluded per roster rules),empty,0
siuc,Southern Illinois University Carbondale,US,Carbondale,https://academics.siu.edu/human-behavioral/psychology/doctoral/applied.php,https://academics.siu.edu/human-behavioral/psychology/doctoral/applied.php,Psychology,verify,Applied Psychology not accepting applications; no remaining I-O TT faculty,empty,0
ksu,Kansas State University,US,Manhattan,https://www.k-state.edu/psych/academics/graduate/programs/io/,https://www.k-state.edu/psych/academics/graduate/programs/io/faculty.html,Psychology,core,Official I-O faculty table 2026-07-27; Maneotis teaching-track excluded; Fullagar/Knight/Downey not on table,complete_v1,3
uconn,University of Connecticut,US,Storrs,https://catalog.uconn.edu/graduate/degree-programs/psychological-sciences-phd/,https://psychology.uconn.edu/persontag/industrial-and-organizational-psychology/,Psychology,core,Psychological Sciences PhD I-O concentration; Magley Henning Mellor Solis current TT on I-O tag page; Rumery research professor excluded; Mathieu business affiliate excluded from current roster,complete_v1,4
lsu,Louisiana State University,US,Baton Rouge,https://www.lsu.edu/hss/psychology/grad/prospective-student/areas-of-specialization/organizational.php,https://www.lsu.edu/hss/psychology/grad/prospective-student/areas-of-specialization/organizational.php,Psychology,core,Official I-O core faculty: Zhang Burke Cobb,complete_v1,3
wsu,Washington State University,US,Vancouver,https://psychology.wsu.edu/psychological-science/industrial-organizational/,https://psychology.wsu.edu/psychological-science/industrial-organizational/,Psychology,core,Psychological Science PhD I-O area; associated faculty Probst only,complete_v1,1
waterloo,University of Waterloo,CA,Waterloo,https://uwaterloo.ca/psychology/research/research-areas/industrial-organizational-psychology,https://uwaterloo.ca/psychology/about/people/faculty,Psychology,core,,complete_v1,5
calgary,University of Calgary,CA,Calgary,https://ucalgaryio.com/,https://ucalgaryio.com/faculty,Psychology,core,Dedicated I-O faculty page; exclude Haskayne/adjuncts; Chapman emeritus; Caird retired affiliate (Human Factors; not I-O),complete_v1,5
smu,Saint Mary's University,CA,Halifax,https://www.smu.ca/academics/applied-psychology-industrial-organizational.html,https://www.smu.ca/psychology/faculty-and-staff.html,Psychology,core,,complete_v1,8
guelph,University of Guelph,CA,Guelph,https://www.uoguelph.ca/psychology/graduate/ios,https://www.uoguelph.ca/psychology/people,Psychology,core,,complete_v1,7
western,Western University,CA,London,https://www.psychology.uwo.ca/research/io/index.html,https://www.psychology.uwo.ca/research/io/contact.html,Psychology,core,,complete_v1,4
uqam,Universite du Quebec a Montreal,CA,Montreal,https://psychologie.uqam.ca/psychologie-du-travail-et-des-organisations/,https://psychologie.uqam.ca/professeur-section/professeurs-psychologie-du-travail-et-des-organisations/,Psychology,core,"CSIOP-listed I-O program; Taylor listed as externe (Education), excluded",complete_v1,5
umontreal,Universite de Montreal,CA,Montreal,https://admission.umontreal.ca/programmes/doctorat-en-psychologie-recherche-et-intervention-option-psychologie-du-travail-et-des-organisations/,https://psy.umontreal.ca/recherche/interets/experts/ex/Psychologie%20du%20travail%20et%20des%20organisations/,Psychology,core,French-language I-O PhD (Ph. D. R-I); current TT PTO faculty only,complete_v1,6
windsor,University of Windsor,CA,Windsor,https://www.uwindsor.ca/science/psychology/graduate,https://www.uwindsor.ca/science/psychology/faculty,Psychology,borderline,CSIOP: Applied Social with I-O option,complete_v1,2
